Nome;Indirizzo;Città;Nazione;Prezzo;Prezzo Medio;Tipo di cucina;Longitude;Latitude;Prenotazione Online;Delivery
Le Louis XV - Alain Ducasse à l'Hôtel de Paris;Place du Casino;Monaco; France;€€€€;100;Mediterranean Cuisine, Modern Cuisine;74271047;437391839;NO;NO
L'Ambroisie;9 place des Vosges;Paris; France;€€€€;100;Classic Cuisine;23645215;48855494;NO;NO
Flocons de Sel;1775 route du Leutaz;Megève; France;€€€€;100;Modern Cuisine;65969625;458302404;NO;SI
Épicure;Le Bristol;Paris; France;€€€€;100;Modern Cuisine;23145978;488717223;SI;NO
Arpège;84 rue de Varenne;Paris; France;€€€€;100;Creative;23170127;488557538;NO;NO
Le Pré Catelan;Route de Suresnes - bois de Boulogne;Paris; France;€€€€;100;Creative, Contemporary;22507182;488639374;NO;NO
Le Cinq;Four Seasons Hotel George V;Paris; France;€€€€;100;Modern Cuisine;23008612;488687604;NO;SI
Le Petit Nice;Anse de Maldormé;Marseille; France;€€€€;100;Seafood;53520484;432802565;NO;SI
Kei;5 rue du Coq-Héron;Paris; France;€€€€;100;Modern Cuisine, Creative;23422847;488643947;SI;NO
L'Oustau de Baumanière;Mas de Baumanière;Les Baux-de-Provence; France;€€€€;100;Creative;47873628;437402659;SI;NO
Plénitude - Cheval Blanc Paris;8 quai du Louvre;Paris; France;€€€€;100;Creative;23421588;488588148;SI;SI
AM par Alexandre Mazzia;9 rue François-Rocca;Marseille; France;€€€€;100;Creative;53862325;432701104;NO;SI
Pic;285 avenue Victor-Hugo;Valence; France;€€€€;100;Creative;48855601;449176875;SI;SI
Maison Lameloise;36 place d'Armes;Chagny; France;€€€€;100;Modern Cuisine;47529917;469078385;NO;SI
Le Coquillage;Lieu-dit Le Buot;Saint-Méloir-des-Ondes; France;€€€€;100;Creative, Seafood;-18711232;486430654;SI;NO
Restaurant Marcon;Larsiallas;Saint-Bonnet-le-Froid; France;€€€€;100;Creative;44342679;451386734;SI;NO
Pierre Gagnaire;6 rue Balzac;Paris; France;€€€€;100;Creative;23003862;488732506;SI;SI
La Vague d'Or - Cheval Blanc St-Tropez;Plage de la Bouillabaisse;Saint-Tropez; France;€€€€;100;Creative;66261535;432665849;NO;SI
Christopher Coutanceau;Plage de la Concurrence;La Rochelle; France;€€€€;100;Seafood, Modern Cuisine;-11599181;461553629;SI;SI
Troisgros - Le Bois sans Feuilles;728 route de Villerest;Ouches; France;€€€€;100;Creative;399236;4601033;SI;SI
BRU;28 rue Jean-Baptiste-Pigalle;Paris; France;€€;40;Modern Cuisine, Creole;23338156;4887941;NO;NO
Matka;78 rue Quincampoix;Paris; France;€€;40;Polish;23510841;488620352;NO;SI
Maison Brut;18 rue d'Abbeville;Paris; France;€€€;70;Modern Cuisine;23492727;488792968;NO;NO
Première édition;5 rue Prévôt;Avignon; France;€€;40;Modern Cuisine;48063679;439465983;SI;NO
La Marine;3 rue Marie-Lemonnier;L'Herbaudière; France;€€€€;100;Creative, Seafood;-22999341;470237104;SI;NO
Le Clos des Sens;13 rue Jean-Mermoz - à Annecy-le-Vieux;Annecy; France;€€€€;100;Creative;61445765;459176317;NO;SI
La Villa Madie;Avenue de Revestel;Cassis; France;€€€€;100;Creative;5544944;432110889;SI;NO
Assiette Champenoise;40 avenue Paul-Vaillant-Couturier;Reims; France;€€€€;100;Creative;40032666;492478347;NO;NO
Mirazur;30 avenue Aristide-Briand;Menton; France;€€€€;100;Creative;75280514;437859304;NO;NO
Les Prés d'Eugénie - Michel Guérard;Place de l'Impératrice;Eugénie-les-Bains; France;€€€€;100;Classic Cuisine;-3797229;43696604;NO;SI
Auberge du Vieux Puits;5 avenue Saint-Victor;Fontjoncouse; France;€€€€;100;Creative;27893292;430481728;SI;SI
Alléno Paris au Pavillon Ledoyen;8 avenue Dutuit;Paris; France;€€€€;100;Creative;23164993;488660932;NO;SI
Le 1947 à Cheval Blanc;Cheval Blanc;Courchevel; France;€€€€;100;Creative;66338696;454094877;NO;NO
HAJIME;1-9-11 Edobori;Osaka; Japan;¥¥¥¥;100;Innovative;135496084;34688612;SI;NO
Taian;1-21-2 Shimanochi;Osaka; Japan;¥¥¥;70;Japanese;135507205;34673353;SI;NO
Mizai;613 Maruyamacho;Kyoto; Japan;¥¥¥¥;100;Japanese;135782364;35002993;SI;NO
Gion Sasaki;566-27 Komatsucho;Kyoto; Japan;¥¥¥¥;100;Japanese;135775049;34998881;NO;NO
Isshisoden Nakamura;136 Matsushitacho;Kyoto; Japan;¥¥¥¥;100;Japanese;135765083;35010397;NO;SI
Kashiwaya Osaka Senriyama;2-5-18 Senriyamanishi;Osaka; Japan;¥¥¥;70;Japanese;135501289;34770287;NO;NO
Hyotei;35 Nanzenji Kusagawacho;Kyoto; Japan;¥¥¥¥;100;Japanese;135786742;35011355;NO;NO
Kikunoi Honten;459 Shimokawaracho;Kyoto; Japan;¥¥¥¥;100;Japanese;135782079;35001535;NO;NO
Ta Vie;2F;Hong Kong; Hong Kong SAR China;$$$$;100;Innovative;11415529;22282766;NO;SI
Caprice;6F;Hong Kong; Hong Kong SAR China;$$$$;100;French Contemporary;1141566097;222866489;SI;NO
Robuchon au Dôme;43F;Macau;;$$$$;100;French Contemporary;11354395;22189949;SI;NO
T'ang Court;1-2F;Hong Kong;;$$$;70;Cantonese;1141698;22296572;NO;NO
Sushi Shikon;7F;Hong Kong;;$$$$;100;Sushi;1141577893;222806103;NO;SI
Jade Dragon;2F;Macau;;$$$;70;Cantonese;11356715;22149137;SI;NO
8 1/2 Otto e Mezzo - Bombana;Shop 202;Hong Kong;;$$$$;100;Italian;11415867;222814635;NO;NO
Forum;1F;Hong Kong;;$$$$;100;Cantonese;1141821905;222813972;SI;NO
Amber;7F;Hong Kong;;$$$$;100;French Contemporary;1141577065;222805311;NO;SI
Mingles;2F;Seoul; South Korea;????;100;Korean, Korean Contemporary;12704426;3752535;NO;NO
L'Enclume;Cavendish Street;Cartmel; United Kingdom;££££;100;Creative British;-29538681;542017708;SI;NO
Alain Ducasse at The Dorchester;Park Lane;London; United Kingdom;££££;100;French;-152575;515073381;SI;SI
Hélène Darroze at The Connaught;Carlos Place;London; United Kingdom;££££;100;Modern Cuisine;-1492905;51510188;SI;NO
Restaurant Gordon Ramsay;68-69 Royal Hospital Road;London; United Kingdom;££££;100;French;-1621766;514854381;NO;NO
Fat Duck;High Street;Bray; United Kingdom;££££;100;Creative;-7017529;515078582;NO;SI
Waterside Inn;Ferry Road;Bray; United Kingdom;££££;100;Classic French;-6994376;515091092;NO;SI
Sketch, The Lecture Room and Library;9 Conduit Street;London; United Kingdom;££££;100;Modern French;-1415369;515126775;NO;NO
The Ledbury;127 Ledbury Road;London; United Kingdom;££££;100;Modern Cuisine;-2000731;51516681;NO;NO
Moor Hall;Prescot Road;Aughton; United Kingdom;££££;100;Modern British;-28919183;535423365;NO;NO
CORE by Clare Smyth;92 Kensington Park Road;London; United Kingdom;££££;100;Modern British;-2030649;515126689;NO;NO
Steirereck im Stadtpark;Am Heumarkt 2a;Vienna; Austria;€€€€;100;Creative, Contemporary;163815669;482043967;NO;SI
Amador;Grinzinger Straße 86;Vienna; Austria;€€€€;100;Creative, Contemporary;163586534;482539745;NO;NO
Jungsik New York;2 Harrison St.;New York; USA;$$$$;100;Korean, Contemporary;-740091114;407187256;SI;NO
Per Se;10 Columbus Circle;New York; USA;$$$$;100;Contemporary, French;-739825882;407680545;NO;SI
Le Bernardin;155 W. 51st St.;New York; USA;$$$$;100;Seafood;-7398223;4076177;NO;NO
Eleven Madison Park;11 Madison Ave.;New York; USA;$$$$;100;Vegan, Innovative;-739872414;407415543;SI;SI
Masa;10 Columbus Circle;New York; USA;$$$$;100;Japanese, Sushi;-7398234;4076819;NO;NO
The Inn at Little Washington;309 Middle St.;Washington; USA;$$$$;100;American, French;-781595348;387134767;SI;NO
Smyth;177 N. Ada St.;Chicago; USA;$$$$;100;Contemporary, Creative;-876606324;418850485;NO;NO
Alinea;1723 N. Halsted St.;Chicago; USA;$$$$;100;Creative, Modern Cuisine;-87648174;419132737;SI;NO
Sorn;56 Soi Sukhumvit 26;Bangkok; Thailand;????;100;Southern Thai;1005684937;137231336;NO;NO
Azurmendi;Legina Auzoa;Larrabetzu; Spain;€€€€;100;Creative;-281454;4326065;SI;SI
Aponiente;Francisco Cossi Ochoa;El Puerto de Santa María; Spain;€€€€;100;Creative, Innovative;-62164435;366033273;NO;SI
DiverXO;Padre Damián 23;Madrid; Spain;€€€€;100;Creative;-36856715;404582913;NO;NO
Noor;Pablo Ruiz Picasso 8;Córdoba; Spain;€€€€;100;Creative;-47585272;378899393;NO;NO
Cenador de Amós;Plaza del Sol;Villaverde de Pontones; Spain;€€€€;100;Modern Cuisine;-36988243;434124884;SI;SI
Quique Dacosta;Rascassa 1;Dénia; Spain;€€€€;100;Creative;852209;388537884;NO;NO
Atrio;Plaza San Mateo 1;Cáceres; Spain;€€€€;100;Creative;-63713456;394730183;SI;SI
Casa Marcial;La Salgar;Arriondas; Spain;€€€€;100;Creative, Asturian;-51931556;434184082;NO;SI
El Celler de Can Roca;Can Sunyer 48;Girona; Spain;€€€€;100;Creative;2807927;419932026;SI;SI
Akela?e;Paseo del Padre Orcolaga 56;Donostia / San Sebastián; Spain;€€€€;100;Creative, Traditional Cuisine;-20731493;433027805;NO;SI
Martín Berasategui;Loidi 4;Lasarte - Oria; Spain;€€€€;100;Creative;-20157211;432669352;NO;NO
Lasarte;Mallorca 259;Barcelona; Spain;€€€€;100;Creative;21622018;413936278;SI;NO
ABaC;Avenida del Tibidabo 1;Barcelona; Spain;€€€€;100;Creative;21367664;414103822;SI;NO
Disfrutar;Villarroel 163;Barcelona; Spain;€€€€;100;Creative;21530369;413879756;SI;SI
Arzak;Avenida Alcalde José Elosegi 273;Donostia / San Sebastián; Spain;€€€€;100;Creative, Traditional Cuisine;-19490932;433214016;NO;SI
Cocina Hermanos Torres;Taquígraf Serra 20;Barcelona; Spain;€€€€;100;Creative;21400168;413865273;SI;NO
Ultraviolet by Paul Pairet;'somewhere in Shanghai' - meet at Mr & Mrs Bund restaurant - 6F;Shanghai; China Mainland;¥¥¥¥;100;Innovative;12148509;31240358;SI;NO
Taian Table;101-102;Shanghai; China Mainland;¥¥¥¥;100;Innovative;121474049;31221807;NO;NO
Casa Perbellini 12 Apostoli;vicolo Corticella San Marco 3;Verona; Italy;€€€€;100;Creative, Contemporary;109961161;454426941;NO;SI
Le Calandre;via Liguria 1;Rubano; Italy;€€€€;100;Creative, Contemporary;118096633;454215425;NO;NO
Enrico Bartolini al Mudec;via Tortona 56;Milan; Italy;€€€€;100;Creative;9161865;454516;SI;NO
Uliassi;banchina di Levante 6;Senigallia; Italy;€€€€;100;Creative, Seafood;132206503;437194609;NO;NO
Enoteca Pinchiorri;via Ghibellina 87;Florence; Italy;€€€€;100;Italian Contemporary, Creative;112621974;43770066;NO;NO
Atelier Moessmer Norbert Niederkofler;via Walther Von der Vogelweide 17;Brunico; Italy;€€€€;100;Creative, Alpine;11949283;467927709;SI;NO
Villa Crespi;via Fava 18;Orta San Giulio; Italy;€€€€;100;Creative, Mediterranean Cuisine;84159486;457964778;SI;NO
Quattro Passi;via Vespucci 13/n;Marina del Cantone; Italy;€€€€;100;Mediterranean Cuisine, Contemporary;143537561;405857091;SI;SI
La Pergola;via Cadlolo 101;Rome; Italy;€€€€;100;Mediterranean Cuisine, Contemporary;124461151;419187946;NO;NO
Reale;contrada Santa Liberata;Castel di Sangro; Italy;€€€€;100;Modern Cuisine, Creative;14094554;417800349;NO;SI
Da Vittorio;via Cantalupa 17;Brusaporto; Italy;€€€€;100;Italian Contemporary;97692511;456756778;NO;NO
Osteria Francescana;via Stella 22;Modena; Italy;€€€€;100;Creative;109215518;446448099;NO;NO
Dal Pescatore;località Runate 15;Runate; Italy;€€€€;100;Italian Contemporary;103565788;451712728;NO;SI
Piazza Duomo;vicolo dell'Arco 1;Alba; Italy;€€€€;100;Creative, Seasonal Cuisine;80359341;447005555;NO;NO
Schloss Schauenstein;Schlossgass 77;Fürstenau; Switzerland;€€€€;100;Creative, Country cooking;94462648;467211969;SI;SI
Restaurant de l'Hôtel de Ville;Rue d'Yverdon 1;Crissier; Switzerland;€€€€;100;Classic French, Seasonal Cuisine;65767178;465539842;NO;NO
Sven Wassmer Memories;Bernhard-Simon-Strasse 2;Bad Ragaz; Switzerland;€€€€;100;Creative, Farm to table;95037741;470002941;SI;NO
Cheval Blanc by Peter Knogl;Blumenrain 8;Basel; Switzerland;€€€€;100;Classic French;75875706;475604261;NO;SI
Kanda;1F;Tokyo; Japan;¥¥¥¥;100;Japanese;139748;356658;NO;NO
Azabu Kadowaki;2-7-2 Azabujuban;Tokyo; Japan;¥¥¥¥;100;Japanese;139733551;35655993;SI;SI
Kohaku;3-5-5 Kagurazaka;Tokyo; Japan;¥¥¥¥;100;Japanese;139740832;35700825;SI;NO
SÉZANNE;7F;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139767155;35678083;NO;SI
Harutaka;6F;Tokyo; Japan;¥¥¥¥;100;Sushi;139759203;35669269;NO;SI
L'OSIER;7-5-5 Ginza;Tokyo; Japan;¥¥¥¥;100;French, French Contemporary;139761203;35669667;NO;NO
Kagurazaka Ishikawa;5-37 Kagurazaka;Tokyo; Japan;¥¥¥¥;100;Japanese;139739466;35701212;SI;NO
RyuGin;7F;Tokyo; Japan;¥¥¥¥;100;Japanese;139759193;35673583;NO;NO
L'Effervescence;2-26-4 Nishiazabu;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139719454;35660299;NO;NO
Joël Robuchon;Yebisu Garden Place;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139714528;35641903;NO;SI
Quintessence;1F;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139732977;35624038;SI;NO
Sazenka;4-7-5 Minamiazabu;Tokyo; Japan;¥¥¥¥;100;Chinese;139728395;35649578;SI;SI
Xin Rong Ji (Xinyuan South Road);1F;Beijing; China Mainland;¥¥¥¥;100;Taizhou;116450148;3994638;NO;SI
Chao Shang Chao (Chaoyang);L406B;Beijing; China Mainland;¥¥¥¥;100;Chao Zhou;116461892;39910992;SI;NO
De Librije;Spinhuisplein 1;Zwolle; Netherlands;€€€€;100;Modern Cuisine;60980183;525153644;SI;NO
Taïrroir;6F;Taipei; Taiwan;$$$$;100;Taiwanese contemporary;121559303;25082896;NO;NO
JL Studio;2F;Taichung; Taiwan;$$$$;100;Singaporean, Contemporary;1206285199;241504863;NO;SI
Le Palais;17F;Taipei; Taiwan;$$$$;100;Cantonese;1215168892;250491625;SI;SI
Addison;5200 Grand Del Mar Way;San Diego; USA;$$$$;100;Contemporary, Californian;-1171988908;329412972;SI;SI
Atelier Crenn;3127 Fillmore St.;San Francisco; USA;$$$$;100;Contemporary, French;-12243586;3779835;SI;SI
The French Laundry;6640 Washington St.;Yountville; USA;$$$$;100;Contemporary, French;-12236474;3840443;SI;NO
Quince;470 Pacific Ave.;San Francisco; USA;$$$$;100;Contemporary, Californian;-1224032607;377975054;NO;NO
SingleThread;131 North St.;Healdsburg; USA;$$$$;100;Contemporary, Californian;-1228697229;386122599;SI;SI
Benu;22 Hawthorne St.;San Francisco; USA;$$$$;100;Asian, Contemporary;-1223990601;377853763;NO;SI
Zén;41 Bukit Pasoh Road;Singapore;;$$$$;100;European Contemporary;10384042;12796271;SI;NO
Odette;National Gallery;Singapore;;$$$$;100;French Contemporary;1038516;12896459;NO;NO
Les Amis;Shaw Centre;Singapore;;$$$$;100;French;10383204;130626;SI;NO
Hiša Franko;Staro selo 1;Kobarid; Slovenia;€€€€;100;Creative, Regional Cuisine;135382362;462472961;SI;SI
Frantzén;Klara Norra Kyrkogata 26;Stockholm; Sweden;€€€€;100;Modern Cuisine;180597575;593341673;SI;NO
noma;Refshalevej 96;Copenhagen; Denmark;€€€€;100;Creative;126104224;556832166;NO;NO
Jordnær;Gentoftegade 29;Gentofte; Denmark;€€€€;100;Creative;125412347;557481416;NO;SI
Geranium;Per Henrik Lings Allé 4;Copenhagen; Denmark;€€€€;100;Creative, Contemporary;125720951;55703472;SI;SI
RE-NAA;Nordbøgata 8;Stavanger; Norway;€€€€;100;Creative, Seafood;57308447;589739705;SI;SI
Maaemo;Dronning Eufemias gate 23;Oslo; Norway;€€€€;100;Modern Cuisine, Creative;107586363;599075293;SI;SI
ES:SENZ;Mietenkamer Straße 65;Grassau; Germany;€€€€;100;Creative, Modern Cuisine;124656176;477856302;SI;SI
Waldhotel Sonnora;Auf'm Eichelfeld 1;Dreis; Germany;€€€€;100;Classic French;68109342;499377323;NO;SI
The Table Kevin Fehling;Shanghaiallee 15;Hamburg; Germany;€€€€;100;Creative, International;100028597;535426398;SI;NO
Aqua;Parkstraße 1;Wolfsburg; Germany;€€€€;100;Creative, Modern Cuisine;107899785;524328494;SI;SI
JAN;Luisenstraße 27;Munich; Germany;€€€€;100;Creative, Modern Cuisine;115629878;481447975;SI;NO
Restaurant Bareiss;Hermine-Bareiss-Weg 1;Baiersbronn; Germany;€€€€;100;Classic French;83269876;485205845;SI;NO
Rutz;Chausseestraße 8;Berlin; Germany;€€€€;100;Modern Cuisine, Creative;133860867;525283507;SI;SI
Victor's Fine Dining by christian bau;Schlossstraße 27;Perl; Germany;€€€€;100;Creative, Contemporary;63872109;495351732;SI;SI
schanz. restaurant.;Bahnhofstraße 8a;Piesport; Germany;€€€€;100;Modern French, Creative;69266002;498776003;NO;NO
Schwarzwaldstube;Tonbachstraße 237;Baiersbronn; Germany;€€€€;100;Classic French, Creative;83582803;485369113;NO;SI
Le Gabriel - La Réserve Paris;La Réserve Paris;Paris; France;€€€€;100;Creative;23132078;488697309;NO;SI
La Table du Castellet;3001 route des Hauts-du-Camp;Le Castellet; France;€€€€;100;Creative;57838874;432499288;SI;NO
Zilte;Hanzestedenplaats 5;Antwerpen; Belgium;€€€€;100;Creative;44047543;51228828;SI;SI
Boury;Rumbeeksesteenweg 300;Roeselare; Belgium;€€€€;100;Creative French;31403981;509374466;NO;SI
Rozó;34 rue Raymond-Derain;Marcq-en-Barœul; France;€€€€;100;Creative, Modern Cuisine;30909516;506752;SI;SI
